county_geoid,total_rows,match_rows,tie_rows,resolved_rows,strict_match_rate_pct,tract_resolution_rate_pct,state_abbrev
39121,6,6,0,6,100.0,100.0,OH
39123,60,59,1,59,98.33,98.33,OH
39125,6,6,0,6,100.0,100.0,OH
39127,6,6,0,6,100.0,100.0,OH
39129,66,66,0,66,100.0,100.0,OH
39131,12,12,0,12,100.0,100.0,OH
39133,365,364,1,364,99.73,99.73,OH
39135,37,37,0,37,100.0,100.0,OH
39137,22,22,0,22,100.0,100.0,OH
39139,285,283,2,284,99.3,99.65,OH
39141,124,122,2,124,98.39,100.0,OH
39143,109,106,3,108,97.25,99.08,OH
39145,78,78,0,78,100.0,100.0,OH
39147,70,70,0,70,100.0,100.0,OH
39149,87,86,1,86,98.85,98.85,OH
39151,1130,1118,12,1123,98.94,99.38,OH
39153,2199,2184,15,2190,99.32,99.59,OH
39155,476,447,29,449,93.91,94.33,OH
39157,183,177,6,181,96.72,98.91,OH
39159,139,139,0,139,100.0,100.0,OH
39161,28,28,0,28,100.0,100.0,OH
39165,539,536,3,539,99.44,100.0,OH
39167,118,117,1,118,99.15,100.0,OH
39169,173,173,0,173,100.0,100.0,OH
39171,27,26,1,27,96.3,100.0,OH
39173,379,379,0,379,100.0,100.0,OH
39175,31,31,0,31,100.0,100.0,OH
40001,1,1,0,1,100.0,100.0,OK
40005,4,4,0,4,100.0,100.0,OK
40009,11,11,0,11,100.0,100.0,OK
40011,6,6,0,6,100.0,100.0,OK
40013,23,23,0,23,100.0,100.0,OK
40015,6,6,0,6,100.0,100.0,OK
40017,321,320,1,321,99.69,100.0,OK
40019,73,73,0,73,100.0,100.0,OK
40021,23,23,0,23,100.0,100.0,OK
40023,4,4,0,4,100.0,100.0,OK
40027,931,922,9,924,99.03,99.25,OK
40031,435,434,1,434,99.77,99.77,OK
40033,1,1,0,1,100.0,100.0,OK
40035,10,10,0,10,100.0,100.0,OK
40037,133,131,2,133,98.5,100.0,OK
40039,30,30,0,30,100.0,100.0,OK
40041,32,32,0,32,100.0,100.0,OK
40043,2,2,0,2,100.0,100.0,OK
40047,86,86,0,86,100.0,100.0,OK
40049,21,21,0,21,100.0,100.0,OK
40051,54,54,0,54,100.0,100.0,OK
40055,1,1,0,1,100.0,100.0,OK
40059,1,1,0,1,100.0,100.0,OK
40061,1,1,0,1,100.0,100.0,OK
40063,3,3,0,3,100.0,100.0,OK
40065,19,19,0,19,100.0,100.0,OK
40067,1,0,1,1,0.0,100.0,OK
40069,3,3,0,3,100.0,100.0,OK
40071,66,62,4,66,93.94,100.0,OK
40073,12,12,0,12,100.0,100.0,OK
40075,2,2,0,2,100.0,100.0,OK
40077,2,2,0,2,100.0,100.0,OK
40079,20,20,0,20,100.0,100.0,OK
40081,24,24,0,24,100.0,100.0,OK
40083,63,62,1,63,98.41,100.0,OK
40085,2,2,0,2,100.0,100.0,OK
40087,72,70,2,72,97.22,100.0,OK
40089,11,10,1,10,90.91,90.91,OK
40091,3,3,0,3,100.0,100.0,OK
40093,1,1,0,1,100.0,100.0,OK
40095,3,3,0,3,100.0,100.0,OK
40097,24,24,0,24,100.0,100.0,OK
40099,12,12,0,12,100.0,100.0,OK
40101,136,135,1,136,99.26,100.0,OK
40103,5,5,0,5,100.0,100.0,OK
