LeaseCompId,PropertyId,PropertyName,Tenant.Name,TenantIndustry,TenantNAICS,Market,Submarket,Address.DeliveryAddress,Suite,Address.Locality,Address.County,Address.PostalCode,Address.RegionName,Address.Subdivision,Address.Country,IsVerified.RawValue,SpaceUse,LeaseSource,LeaseOrigin,full_address_std,match,matched_address,latitude,longitude,state_fips,county_fips,census_tract,census_block,geoid,tie_matched_addresses,tie_latitudes,tie_longitudes,tie_geoids,source_batch,zip_original,zip_geocoder,zip_geocoder_tie_list,zip_geocoder_all,zip_geocoder_all_str,tie_candidate_count,tie_zip_candidate_count,match_type,matching_output_count,candidate_output_count,zip_match_detail,flag,flag_detail,zipcode_match_status,zipcode_match_bool,final_lat,final_long
10367502.0,129976.0,Jennifer Place Condos,Friendship Dental Care,Health Care and Social Assistance,Offices of Dentists,"Washington, DC",Uptown,5247 Wisconsin Ave NW,3A    ,Washington,District of Columbia,20015.0,,DC,United States,False,Medical,Third Party - Other,CoStar Research,"5247 WISCONSIN AVE NW, WASHINGTON, DC 20015, UNITED STATES",Match,"5247 WISCONSIN AVE NW, WASHINGTON, DC, 20015",38.958373695492,-77.084423682474,11.0,1.0,1100.0,2004.0,110010011002004.0,,,,,011,20015,20015,[],['20015'],20015,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.958373695492,-77.084423682474
10726135.0,129692.0,,Coco-Loco Restaurant,Accommodation and Food Services,Dine-In Restaurants,"Washington, DC",East End,810 7th St NW,,Washington,District of Columbia,20001.0,,DC,United States,False,Retail,Third Party - Other,CoStar Research,"810 7TH ST NW, WASHINGTON, DC 20001, UNITED STATES",Match,"810 7TH ST NW, WASHINGTON, DC, 20001",38.899964151158,-77.021990331426,11.0,1.0,5802.0,5007.0,110010058025007.0,,,,,011,20001,20001,[],['20001'],20001,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.899964151158,-77.021990331426
10663292.0,130387.0,Secure Self Storage,Perfect Settings,Services,,"Washington, DC",Northeast,5909 Blair Rd NW,100   ,Washington,District of Columbia,20011.0,,DC,United States,False,Retail,Third Party - Other,CoStar Research,"5909 BLAIR RD NW, WASHINGTON, DC 20011, UNITED STATES",Match,"5909 BLAIR RD NW, WASHINGTON, DC, 20011",38.961187324446,-77.009652724611,11.0,1.0,9505.0,2019.0,110010095052019.0,,,,,011,20011,20011,[],['20011'],20011,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.961187324446,-77.009652724611
20009516.0,129915.0,,"McFadden & Shoreman, P.C.",,,"Washington, DC",CBD,1314 19th St NW,,Washington,District of Columbia,20036.0,,DC,United States,False,Office,Third Party - Other,CoStar Research,"1314 19TH ST NW, WASHINGTON, DC 20036, UNITED STATES",Match,"1314 19TH ST NW, WASHINGTON, DC, 20036",38.907723724375,-77.043514644578,11.0,1.0,10700.0,2006.0,110010107002006.0,,,,,011,20036,20036,[],['20036'],20036,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.907723724375,-77.043514644578
70472555.0,107311.0,,,,,"Washington, DC",NE,2266 25th Pl NE,,Washington,District of Columbia,20018.0,,DC,United States,False,Industrial,Third Party - Other,CoStar Research,"2266 25TH PL NE, WASHINGTON, DC 20018, UNITED STATES",Match,"2266 25TH PL NE, WASHINGTON, DC, 20018",38.921357245081,-76.971216748849,11.0,1.0,11100.0,1017.0,110010111001017.0,,,,,011,20018,20018,[],['20018'],20018,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.921357245081,-76.971216748849
70234075.0,402088.0,CentroNÃ­a,,,,"Washington, DC",Uptown,1420 Columbia Rd NW,,Washington,District of Columbia,20009.0,,DC,United States,False,Office,Third Party - Other,CoStar Research,"1420 COLUMBIA RD NW, WASHINGTON, DC 20009, UNITED STATES",Match,"1420 COLUMBIA RD NW, WASHINGTON, DC, 20009",38.927375439066,-77.033742329983,11.0,1.0,2802.0,2001.0,110010028022001.0,,,,,011,20009,20009,[],['20009'],20009,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.927375439066,-77.033742329983
10997822.0,509424.0,,Douglas Development Corporation,Real Estate,Offices of Real Estate Agents and Brokers,"Washington, DC",East End,720-722 7th St NW,400   ,Washington,District of Columbia,20001.0,,DC,United States,False,Office,Third Party - Other,CoStar Research,"720 7TH ST NW, WASHINGTON, DC 20001, UNITED STATES",Match,"720 7TH ST NW, WASHINGTON, DC, 20001",38.89875472582,-77.021989840161,11.0,1.0,5802.0,5008.0,110010058025008.0,,,,,011,20001,20001,[],['20001'],20001,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.89875472582,-77.021989840161
70298940.0,596385.0,,,,,"Washington, DC",Uptown,4631 41st St NW,,Washington,District of Columbia,20016.0,,DC,United States,False,Office,Third Party - Other,CoStar Research,"4631 41ST ST NW, WASHINGTON, DC 20016, UNITED STATES",Match,"4631 41ST ST NW, WASHINGTON, DC, 20016",38.950017740511,-77.08026635489,11.0,1.0,1100.0,4011.0,110010011004011.0,,,,,011,20016,20016,[],['20016'],20016,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.950017740511,-77.08026635489
70219730.0,362217.0,,,,,"Washington, DC",Georgetown,1515 Wisconsin Ave NW,,Washington,District of Columbia,20007.0,,DC,United States,False,Retail,Third Party - Other,CoStar Research,"1515 WISCONSIN AVE NW, WASHINGTON, DC 20007, UNITED STATES",Match,"1515 WISCONSIN AVE NW, WASHINGTON, DC, 20007",38.909570260376,-77.06440462738,11.0,1.0,102.0,2004.0,110010001022004.0,,,,,011,20007,20007,[],['20007'],20007,0,1,One-to-One,1,1,One-to-One Matched,False,,Match,True,38.909570260376,-77.06440462738
20003210.0,44945.0,Corby Bldg,"Embassy Of Uruguay in Washington, DC, Ministry Of",Public Administration,International Affairs,"Washington, DC",CBD,1913 Eye St NW,,Washington,District of Columbia,20006.0,,DC,United States,False,Office,Third Party - Other,CoStar Research,"1913 EYE ST NW, WASHINGTON, DC 20006, UNITED STATES",No_Match,,,,0.0,0.0,0.0,0.0,0.0,,,,,011,20006,,[],[],,0,0,One-to-One,0,0,Geocoder ZIP Missing,False,,Geocoder Missing,False,,
