LeaseCompId,PropertyId,PropertyName,Tenant.Name,TenantIndustry,TenantNAICS,Market,Submarket,Address.DeliveryAddress,Suite,Address.Locality,Address.County,Address.PostalCode,Address.RegionName,Address.Subdivision,Address.Country,IsVerified.RawValue,SpaceUse,LeaseSource,LeaseOrigin,full_address_std
111594825.0,5842589.0,,Mattress Firm,Retailer,Furniture Retailers,San Francisco,Redwood City,2341 El Camino Real,,Redwood City,San Mateo,94063.0,,CA,United States,False,Retail,Third Party - Other,CoStar Research,"2341 EL CAMINO REAL, REDWOOD CITY, CA 94063, UNITED STATES"
110980714.0,5843993.0,,Little Caesars,Accommodation and Food Services,Fast Food Restaurants,San Francisco,Southern City,951-985 Geneva Ave,,San Francisco,San Francisco,94112.0,,CA,United States,False,Retail,Third Party - Other,CoStar Research,"951 GENEVA AVE, SAN FRANCISCO, CA 94112, UNITED STATES"
114190364.0,5849505.0,,Jane's,Retailer,,San Francisco,Van Ness/Chinatown,921-927 Larkin St,927,San Francisco,San Francisco,94109.0,,CA,United States,False,Retail,Third Party - Other,CoStar Research,"921 LARKIN ST, SAN FRANCISCO, CA 94109, UNITED STATES"
110843660.0,5849633.0,,Ocean Books,,,San Francisco,Southern City,1735 Ocean Ave,,San Francisco,San Francisco,94112.0,,CA,United States,False,Office/Retail,Third Party - Other,CoStar Research,"1735 OCEAN AVE, SAN FRANCISCO, CA 94112, UNITED STATES"
110843668.0,5849695.0,,Free Communication,,,San Francisco,Southern City,2507-2509 San Bruno Ave,,San Francisco,San Francisco,94134.0,,CA,United States,False,Retail,Third Party - Other,CoStar Research,"2507 SAN BRUNO AVE, SAN FRANCISCO, CA 94134, UNITED STATES"
119012321.0,5850048.0,Westfield San Francisco Centre,GoPro,Manufacturing,Commercial and Service Industry Machinery Manufacturing,San Francisco,Yerba Buena,835 Market St,700,San Francisco,San Francisco,94103.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"835 MARKET ST, SAN FRANCISCO, CA 94103, UNITED STATES"
163919361.0,5850942.0,,Topology,"Professional, Scientific, and Technical Services",,San Francisco,Mission/Potrero,3260 19th St,,San Francisco,San Francisco,94110.0,,CA,United States,False,Industrial,Third Party - Landlord Rep,CoStar Research,"3260 19TH ST, SAN FRANCISCO, CA 94110, UNITED STATES"
114222791.0,5850951.0,Sonoma Suites,,,,San Francisco,Mission,2901-2915 16th St,,San Francisco,San Francisco,94103.0,,CA,United States,False,Retail,Third Party - Landlord Rep,CoStar Research,"2901 16TH ST, SAN FRANCISCO, CA 94103, UNITED STATES"
126591721.0,5850954.0,,,,,San Francisco,Mission/Potrero,430 Shotwell St,,San Francisco,San Francisco,94110.0,,CA,United States,False,Office,Third Party - Landlord Rep,CoStar Research,"430 SHOTWELL ST, SAN FRANCISCO, CA 94110, UNITED STATES"
126724991.0,5850973.0,,,,,San Francisco,Menlo Park,1540 El Camino Real,,Menlo Park,San Mateo,94025.0,,CA,United States,False,Industrial,Third Party - Landlord Rep,CoStar Research,"1540 EL CAMINO REAL, MENLO PARK, CA 94025, UNITED STATES"
