LeaseCompId,PropertyId,PropertyName,full_address,Address.DeliveryAddress,Address.Locality,Address.Subdivision,Address.PostalCode,Address.County,Market,Submarket
10557348.0,114968.0,,"390 Swift Ave, South San Francisco, CA 94080, United States",390 Swift Ave,South San Francisco,CA,94080.0,San Mateo,San Francisco,South San Francisco
111501676.0,115915.0,Sherman Clay Bldg,"217 Sutter St, San Francisco, CA 94108, United States",217 Sutter St,San Francisco,CA,94108.0,San Francisco,San Francisco,Union Square
123063521.0,116128.0,The D'Ambra Building,"2 W 5th Ave, San Mateo, CA 94402, United States",2 W 5th Ave,San Mateo,CA,94402.0,San Mateo,San Francisco,San Mateo
132900041.0,116502.0,,"1118 Howard St, San Francisco, CA 94103, United States",1118 Howard St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market
162350761.0,116912.0,,"1468-1474 Valencia St, San Francisco, CA 94110, United States",1468-1474 Valencia St,San Francisco,CA,94110.0,San Francisco,San Francisco,Mission
10757538.0,116913.0,710 Taylor-Office,"710 Taylor St, San Francisco, CA 94108, United States",710 Taylor St,San Francisco,CA,94108.0,San Francisco,San Francisco,Union Square
112525559.0,117173.0,,"1540 Market St, San Francisco, CA 94102, United States",1540 Market St,San Francisco,CA,94102.0,San Francisco,San Francisco,Civic Center
112604977.0,117342.0,,"850 Montgomery St, San Francisco, CA 94133, United States",850 Montgomery St,San Francisco,CA,94133.0,San Francisco,San Francisco,Jackson Square
10379013.0,117887.0,,"1380 Industrial Rd, San Carlos, CA 94070, United States",1380 Industrial Rd,San Carlos,CA,94070.0,San Mateo,San Francisco,Belmont/San Carlos
113870754.0,117906.0,,"2801-2803 San Bruno Ave, San Francisco, CA 94134, United States",2801-2803 San Bruno Ave,San Francisco,CA,94134.0,San Francisco,San Francisco,Southern City
204088481.0,118107.0,,"5-7 Freelon St, San Francisco, CA 94107, United States",5-7 Freelon St,San Francisco,CA,94107.0,San Francisco,San Francisco,South of Market
171356051.0,118839.0,,"4811 Geary Blvd, San Francisco, CA 94118, United States",4811 Geary Blvd,San Francisco,CA,94118.0,San Francisco,San Francisco,West of Van Ness
70114658.0,118982.0,,"550 Alabama St, San Francisco, CA 94110, United States",550 Alabama St,San Francisco,CA,94110.0,San Francisco,San Francisco,Mission/Potrero
70224912.0,119484.0,,"243-245 8th St, San Francisco, CA 94103, United States",243-245 8th St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market
70307977.0,119687.0,,"575 10th St, San Francisco, CA 94103, United States",575 10th St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market
112427755.0,119871.0,,"2419 Lombard St, San Francisco, CA 94123, United States",2419 Lombard St,San Francisco,CA,94123.0,San Francisco,San Francisco,West of Van Ness
70210755.0,119947.0,,"1435-1475 Huntington Ave, South San Francisco, CA 94080, United States",1435-1475 Huntington Ave,South San Francisco,CA,94080.0,San Mateo,San Francisco,South San Francisco
30038211.0,120190.0,,"385 8th St, San Francisco, CA 94103, United States",385 8th St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market
160214801.0,120404.0,,"1830-1832 Harrison St, San Francisco, CA 94103, United States",1830-1832 Harrison St,San Francisco,CA,94103.0,San Francisco,San Francisco,Mission/Potrero
111962919.0,120584.0,,"421-427 Valley Dr, Brisbane, CA 94005, United States",421-427 Valley Dr,Brisbane,CA,94005.0,San Mateo,San Francisco,Brisbane/Daly City
70225806.0,120799.0,,"754 Clementina St, San Francisco, CA 94103, United States",754 Clementina St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market
132220071.0,121195.0,,"431 Tehama St, San Francisco, CA 94103, United States",431 Tehama St,San Francisco,CA,94103.0,San Francisco,San Francisco,Yerba Buena
120648861.0,122010.0,,"227-231 Kearny St, San Francisco, CA 94108, United States",227-231 Kearny St,San Francisco,CA,94108.0,San Francisco,San Francisco,Union Square
111630716.0,122110.0,,"255-263 Utah Ave, South San Francisco, CA 94080, United States",255-263 Utah Ave,South San Francisco,CA,94080.0,San Mateo,San Francisco,South San Francisco
70380646.0,122263.0,,"39-57 Columbia Sq, San Francisco, CA 94103, United States",39-57 Columbia Sq,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market
130411191.0,123157.0,Gallo Bldg,"250 Brannan St, San Francisco, CA 94107, United States",250 Brannan St,San Francisco,CA,94107.0,San Francisco,San Francisco,Rincon/South Beach
159124331.0,123351.0,,"2710 Bay Rd, Redwood City, CA 94063, United States",2710 Bay Rd,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City
70382935.0,123381.0,,"1840-1846 El Camino Real, Burlingame, CA 94010, United States",1840-1846 El Camino Real,Burlingame,CA,94010.0,San Mateo,San Francisco,Burlingame
70205065.0,312229.0,,"815 El Camino Real, Menlo Park, CA 94025, United States",815 El Camino Real,Menlo Park,CA,94025.0,San Mateo,San Francisco,Menlo Park
70117749.0,320356.0,Imperial Bank Bldg,"18-22 Battery St, San Francisco, CA 94111, United States",18-22 Battery St,San Francisco,CA,94111.0,San Francisco,San Francisco,Financial District
129966911.0,320357.0,Shell Bldg Annex,"65-75 Battery St, San Francisco, CA 94111, United States",65-75 Battery St,San Francisco,CA,94111.0,San Francisco,San Francisco,Financial District
110060688.0,320358.0,,"77 Battery St, San Francisco, CA 94111, United States",77 Battery St,San Francisco,CA,94111.0,San Francisco,San Francisco,Financial District
110999651.0,320359.0,,"98 Battery St, San Francisco, CA 94111, United States",98 Battery St,San Francisco,CA,94111.0,San Francisco,San Francisco,Financial District
129953681.0,320360.0,First National Bank of Northern California,"130 Battery St, San Francisco, CA 94111, United States",130 Battery St,San Francisco,CA,94111.0,San Francisco,San Francisco,Financial District
114186712.0,320361.0,,"275 Battery St, San Francisco, CA 94111, United States",275 Battery St,San Francisco,CA,94111.0,San Francisco,San Francisco,Financial District
160174671.0,320362.0,The Reserve,"301 Battery St, San Francisco, CA 94111, United States",301 Battery St,San Francisco,CA,94111.0,San Francisco,San Francisco,Financial District
10697211.0,320363.0,McGraw Hill Bldg,"425 Battery St, San Francisco, CA 94111, United States",425 Battery St,San Francisco,CA,94111.0,San Francisco,San Francisco,Financial District
112511274.0,320364.0,Burroughs Bldg,"447 Battery St, San Francisco, CA 94111, United States",447 Battery St,San Francisco,CA,94111.0,San Francisco,San Francisco,Financial District
