LeaseCompId,PropertyId,PropertyName,Address.DeliveryAddress,Address.Locality,Address.Subdivision,Address.PostalCode,Address.County,Market,Submarket,full_address_std,match,matched_address,latitude,longitude,state_fips,county_fips,census_tract,census_block,geoid,tie_matched_addresses,tie_latitudes,tie_longitudes,tie_geoids
70459859.0,636136.0,,850 El Camino Real,San Carlos,CA,94070.0,San Mateo,San Francisco,Belmont/San Carlos,"850 EL CAMINO REAL, SAN CARLOS, CA 94070, UNITED STATES",No_Match,,,,,,,,,,,,
122051051.0,636702.0,,560-568 Brannan St,San Francisco,CA,94107.0,San Francisco,San Francisco,South of Market,"560 BRANNAN ST, SAN FRANCISCO, CA 94107, UNITED STATES",Match,"560 BRANNAN ST, SAN FRANCISCO, CA, 94107",37.777298191289,-122.397931523251,6.0,75.0,18000.0,2005.0,60750180002005.0,,,,
70311968.0,636826.0,,171 Birch St,Redwood City,CA,94062.0,San Mateo,San Francisco,Redwood City,"171 BIRCH ST, REDWOOD CITY, CA 94062, UNITED STATES",Match,"171 BIRCH ST, REDWOOD CITY, CA, 94062",37.486551144611,-122.238273979284,6.0,81.0,610000.0,1015.0,60816100001015.0,,,,
110132071.0,638639.0,,903-907 Minna St,San Francisco,CA,94103.0,San Francisco,San Francisco,South of Market,"903 MINNA ST, SAN FRANCISCO, CA 94103, UNITED STATES",Match,"903 MINNA ST, SAN FRANCISCO, CA, 94103",37.774741436815,-122.415394568006,6.0,75.0,17603.0,3006.0,60750176033006.0,,,,
70312599.0,639150.0,,2250 Union St,San Francisco,CA,94123.0,San Francisco,San Francisco,West of Van Ness,"2250 UNION ST, SAN FRANCISCO, CA 94123, UNITED STATES",Match,"2250 UNION ST, SAN FRANCISCO, CA, 94123",37.797039210985,-122.436342014175,6.0,75.0,13002.0,2001.0,60750130022001.0,,,,
117313401.0,639162.0,,563-565 Clay St,San Francisco,CA,94111.0,San Francisco,San Francisco,Financial District,"563 CLAY ST, SAN FRANCISCO, CA 94111, UNITED STATES",Match,"563 CLAY ST, SAN FRANCISCO, CA, 94111",37.794652997248,-122.402824076011,6.0,75.0,61101.0,2018.0,60750611012018.0,,,,
10479588.0,639563.0,,1588-1598 Carroll Ave,San Francisco,CA,94124.0,San Francisco,San Francisco,Bayview/Hunters Point,"1588 CARROLL AVE, SAN FRANCISCO, CA 94124, UNITED STATES",Match,"1588 CARROLL AVE, SAN FRANCISCO, CA, 94124",37.724883792676,-122.393078738204,6.0,75.0,23400.0,1007.0,60750234001007.0,,,,
70477433.0,639568.0,,1901-1999 Van Ness Ave,San Francisco,CA,94109.0,San Francisco,San Francisco,Van Ness/Chinatown,"1901 VAN NESS AVE, SAN FRANCISCO, CA 94109, UNITED STATES",Match,"1901 VAN NESS AVE, SAN FRANCISCO, CA, 94109",37.793085703489,-122.42305571703,6.0,75.0,13101.0,1000.0,60750131011000.0,,,,
113213284.0,640283.0,,555 Broadway St,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City,"555 BROADWAY ST, REDWOOD CITY, CA 94063, UNITED STATES",Match,"555 BROADWAY ST, REDWOOD CITY, CA, 94063",37.485642258356,-122.205740663847,6.0,81.0,610201.0,1012.0,60816102011012.0,,,,
111177756.0,640301.0,Bldg 7,1200 Seaport Blvd,Redwood City,CA,94063.0,San Mateo,San Francisco,Redwood City,"1200 SEAPORT BLVD, REDWOOD CITY, CA 94063, UNITED STATES",Match,"1200 SEAPORT BLVD, REDWOOD CITY, CA, 94063",37.51324035767,-122.204329540686,6.0,81.0,610302.0,1018.0,60816103021018.0,,,,
